s,A(s)/h (GHz),B(s)/h (GHz),C (normalized)
0.000,9.1044320,0.0667785,0.0000000
0.001,9.0453680,0.0683830,0.0042907
0.002,8.9868030,0.0700066,0.0085335
0.003,8.9290900,0.0716493,0.0126944
0.004,8.8722950,0.0733110,0.0167681
0.005,8.8161770,0.0749917,0.0207776
0.006,8.7608460,0.0766915,0.0247125
0.007,8.7061210,0.0784104,0.0285906
0.008,8.6520970,0.0801482,0.0324027
0.009,8.5989220,0.0819052,0.0361358
0.010,8.5463500,0.0836812,0.0398130
0.011,8.4944840,0.0854762,0.0434247
0.012,8.4431340,0.0872903,0.0469890
0.013,8.3925040,0.0891234,0.0504869
0.014,8.3424640,0.0909756,0.0539309
0.015,8.2928790,0.0928469,0.0573335
0.016,8.2439870,0.0947372,0.0606732
0.017,8.1955800,0.0966465,0.0639691
0.018,8.1478610,0.0985749,0.0672031
0.019,8.1006310,0.1005223,0.0703931
0.020,8.0540180,0.1024888,0.0735280
0.021,8.0078250,0.1044743,0.0766255
0.022,7.9622160,0.1064789,0.0796712
0.023,7.9170380,0.1085025,0.0826787
0.024,7.8724470,0.1105452,0.0856346
0.025,7.8282680,0.1126069,0.0885543
0.026,7.7846090,0.1146877,0.0914286
0.027,7.7414190,0.1167875,0.0942619
0.028,7.6986230,0.1189064,0.0970613
0.029,7.6563450,0.1210443,0.0998156
0.030,7.6144490,0.1232013,0.1025372
0.031,7.5730390,0.1253773,0.1052170
0.032,7.5319830,0.1275724,0.1078664
0.033,7.4913880,0.1297865,0.1104767
0.034,7.4512800,0.1320196,0.1130453
0.035,7.4114910,0.1342718,0.1155871
0.036,7.3720730,0.1365431,0.1180976
0.037,7.3329390,0.1388334,0.1205840
0.038,7.2941840,0.1411428,0.1230387
0.039,7.2559130,0.1434712,0.1254529
0.040,7.2179570,0.1458186,0.1278410
0.041,7.1803660,0.1481852,0.1301987
0.042,7.1431130,0.1505707,0.1325282
0.043,7.1062570,0.1529753,0.1348251
0.044,7.0696870,0.1553990,0.1370984
0.045,7.0333550,0.1578417,0.1393521
0.046,6.9974140,0.1603034,0.1415739
0.047,6.9618130,0.1627842,0.1437680
0.048,6.9264670,0.1652841,0.1459413
0.049,6.8915070,0.1678030,0.1480836
0.050,6.8569080,0.1703409,0.1501965
0.051,6.8225210,0.1728979,0.1522922
0.052,6.7884430,0.1754740,0.1543634
0.053,6.7546940,0.1780690,0.1564080
0.054,6.7211520,0.1806832,0.1584361
0.055,6.6879800,0.1833164,0.1604349
0.056,6.6549880,0.1859686,0.1624193
0.057,6.6221340,0.1886399,0.1643928
0.058,6.5896650,0.1913302,0.1663360
0.059,6.5573700,0.1940396,0.1682655
0.060,6.5254290,0.1967681,0.1701670
0.061,6.4937920,0.1995156,0.1720449
0.062,6.4622830,0.2022821,0.1739128
0.063,6.4311300,0.2050677,0.1757528
0.064,6.4001250,0.2078723,0.1775815
0.065,6.3694180,0.2106960,0.1793872
0.066,6.3389070,0.2135387,0.1811777
0.067,6.3086350,0.2164005,0.1829497
0.068,6.2786920,0.2192813,0.1846966
0.069,6.2488500,0.2221812,0.1864358
0.070,6.2193420,0.2251001,0.1881494
0.071,6.1899450,0.2280381,0.1898546
